Step,Scaffold,SMILES,Linker Num HBD,Linker Num HBA,Linker Num Aromatic Rings,Matching substructure1,linker_mol_weight,Scaffold Ring Score,linker_rocs_score,raw_Linker Num HBD,raw_Linker Num HBA,raw_Linker Num Aromatic Rings,raw_linker_mol_weight,raw_linker_custom_alerts,raw_Scaffold Ring Score,raw_linker_rocs_score,total_score,ID
47,c1ccc2nc(Nc3ccc(N4CCCCC4)cc3)ncc2c1,c1ccc2c3nc(nc2c1)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.976999998,1,3,3,221.2630005,0,8,1.976999998,1.053828001,default_job_0
58,c1ccc2nc(Nc3ccc(N4CCCCC4)cc3)ncc2c1,Cc1cccc2c3nc(nc12)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.950999975,1,3,3,235.2899933,0,8,1.950999975,1.052755356,default_job_1
58,c1cc2cnc(Nc3ccc(N4CCCCC4)cc3)nc2s1,c1cc2c3nc(nc2s1)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.949000001,1,4,3,227.2920074,0,8,1.949000001,1.052672386,default_job_2
67,c1cc2cnc(Nc3ccc(N4CCCCC4)cc3)nc2s1,Cc1cc2c3nc(nc2s1)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.942999959,1,4,3,241.3190002,0,8,1.942999959,1.052422762,default_job_3
71,c1cc2cnc(Nc3ccc(N4CCCCC4)cc3)nc2s1,Cc1csc2nc3nc(c12)OCCCNC1CCN(CC1)c1ccc(cc1)N3,1,1,1,1,1,1,1.940000057,1,4,3,241.3190002,0,8,1.940000057,1.052297592,default_job_4
54,c1cc2cnc(Nc3ccc(N4CCCCC4)cc3)nc2s1,Cc1cc2ccc1Nc1nc(c3ccsc3n1)OCCCNC1CCN2CC1,1,1,1,1,1,1,1.925999999,1,4,3,241.3190002,0,8,1.925999999,1.051711559,default_job_5
42,c1ccc2nc(Nc3ccc(N4CCCCC4)nc3)ncc2c1,c1ccc2c3nc(nc2c1)Nc1ccc(nc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.837000012,1,4,3,222.2510071,0,8,1.837000012,1.047890902,default_job_6
55,c1cnc2nc(Nc3ccc(N4CCCCC4)cc3)ncc2c1,Cc1cc2ccc1Nc1nc(c3cccnc3n1)OCCCNC1CCN2CC1,1,1,1,1,1,1,1.809999943,1,4,3,236.2779999,0,8,1.809999943,1.046698093,default_job_7
65,c1ccc2nc(Nc3ccc(N4CCCCC4)cc3)ccc2c1,Cc1cccc2nc3cc(c12)OCCCNC1CCN(CC1)c1ccc(cc1)N3,1,1,1,1,1,1,1.738999963,1,2,3,234.302002,0,8,1.738999963,1.043481112,default_job_8
61,c1ccc2nc(Nc3ccc(N4CCCCC4)cc3)ccc2c1,Cc1cccc2c3cc(nc12)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.738000035,1,2,3,234.302002,0,8,1.738000035,1.043434978,default_job_9
57,c1ccc2cc(Nc3ccc(N4CCCCC4)cc3)ncc2c1,Cc1cc2ccc1Nc1cc3ccccc3c(n1)OCCCNC1CCN2CC1,1,1,1,1,1,1,1.735999942,1,2,3,234.302002,0,8,1.735999942,1.043342471,default_job_10
62,c1cc2cnc(Nc3ccc(N4CCCCC4)cc3)cc2s1,c1cc2c3nc(cc2s1)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.735000014,1,3,3,226.3040009,0,8,1.735000014,1.043296218,default_job_11
64,c1cc2cc(Nc3ccc(N4CCCCC4)cc3)ncc2s1,c1cc2cc3nc(c2s1)OCCCNC1CCN(CC1)c1ccc(cc1)N3,1,1,1,1,1,1,1.73300004,1,3,3,226.3040009,0,8,1.73300004,1.043203712,default_job_12
36,c1ccc2cc(Nc3ccc(N4CCCCC4)cc3)ncc2c1,Cc1cccc2c3nc(cc12)Nc1ccc(cc1)N1CCC(CC1)NCCCO3,1,1,1,1,1,1,1.726999998,1,2,3,234.302002,0,8,1.726999998,1.042925477,default_job_13
